1	8	8	8	8	8	8	8	8	8	503	503	13	13	504	504	504	504	504	300	505	506	507	508	8	8	27	27
8	2	8	8	8	8	8	8	8	8	503	503	13	13	504	504	504	504	504	300	505	506	507	508	8	8	27	27
8	8	3	8	8	8	8	8	8	8	503	503	13	13	504	504	504	504	504	300	505	506	507	508	8	8	27	27
8	8	8	4	8	8	8	8	8	8	503	503	13	13	504	504	504	504	504	300	505	506	507	508	8	8	27	27
5	8	8	8	8	8	8	8	8	8	503	503	13	13	504	504	17	504	504	300	505	506	507	508	8	8	27	27
8	8	8	8	8	6	8	8	8	8	503	503	13	13	504	504	504	504	504	300	505	506	507	508	8	8	27	27
8	8	8	8	8	8	7	8	8	8	503	503	13	13	504	504	504	504	504	300	505	506	507	508	8	8	27	27
8	8	8	8	8	8	8	8	8	8	503	503	13	13	504	504	504	504	504	300	505	506	507	508	8	8	27	27
14	8	8	8	8	8	8	8	8	8	503	503	13	13	14	16	16	504	19	19	505	506	507	508	8	8	27	27
14	9	9	9	9	9	9	9	9	9	11	12	12	12	14	16	16	504	19	19	505	506	507	508	25	26	26	26
14	8	8	8	8	8	8	8	8	24	503	503	13	13	14	16	16	504	19	19	505	506	507	508	8	24	27	27
400	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	505	506	507	508	503	503	200	503
401	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	505	506	507	508	503	503	200	503
20	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	402	506	507	508	503	503	200	503
21	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	505	403	507	508	503	503	200	503
22	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	505	506	404	508	503	503	200	503
23	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	505	506	507	405	503	503	200	503
501	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	18	504	300	505	506	507	508	503	503	200	503
501	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	18	504	300	505	506	507	508	503	503	200	503
501	502	502	502	100	502	502	101	503	503	503	503	200	503	15	504	504	504	504	300	505	506	507	508	503	503	200	503
0	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	505	506	507	508	503	503	200	503
0	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	505	506	507	508	503	503	200	503
0	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	505	506	507	508	503	503	200	503
500	502	502	502	100	502	502	101	503	503	503	503	200	503	504	504	504	504	504	300	505	506	507	508	503	503	200	503
